title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
The Devil Wears Prada,326706115,933%,9.3,35,125,38.20%,202,61.80%,2006,2000's
The Exorcist,441306145,3678%,36.8,12,233,52.80%,208,47.20%,1973,1970's
The Expendables 2,314975955,315%,3.1,100,85,27.00%,230,73.00%,2012,2010's
The Fate of the Furious,1236005118,458%,4.6,270,226,18.30%,1010,81.70%,2017,2010's
The Fault in our Stars,307239013,2560%,25.6,12,124.9,40.60%,182.4,59.40%,2014,2010's
The First Purge,133015065,1023%,10.2,13,68.9,51.80%,64.1,48.20%,2018,2010's
The Flintstones,341631208,743%,7.4,46,131,38.20%,211,61.80%,1994,1990's
The Force Awakens,2069521700,676%,6.8,306,937,45.30%,1133,54.70%,2015,2010's
The Fugitive,368875760,838%,8.4,44,184,49.80%,185,50.20%,1993,1990's
The Gallows,38164410,38164%,381.6,0.1,22.8,59.60%,15.4,40.40%,2015,2010's
The Gift,58978653,1180%,11.8,5,43.8,74.20%,15.2,25.80%,2015,2010's
The Golden Compass,372234864,207%,2.1,180,70,18.80%,302,81.20%,2007,2000's
The Good Dinosaur,332207671,166%,1.7,200,123,37.00%,209,63.00%,2015,2010's
The Great Gatsby,353659851,186%,1.9,190,145,41.00%,209,59.00%,2013,2010's
The Greatest Showman,435732529,519%,5.2,84,174,40.00%,261,60.00%,2017,2010's
The Grinch,512858819,684%,6.8,75,271,52.90%,241,47.10%,2018,2010's
The Hangover,469328079,1341%,13.4,35,277,59.10%,192,40.90%,2009,2000's
The Hangover Part II,586764305,733%,7.3,80,254,43.40%,332,56.60%,2011,2010's
The Hangover Part III,362000072,351%,3.5,103,112,31.00%,250,69.00%,2013,2010's
The Hobbit: An Unexpected Journey,1017030651,565%,5.7,180,303,29.80%,714,70.20%,2012,2010's
The Hobbit: The Battle of the Five Armies,962201338,321%,3.2,300,255,26.50%,707,73.50%,2014,2010's
The Hobbit: The Desolation of Smaug,959027992,384%,3.8,250,258,26.90%,701,73.10%,2013,2010's
The Hunchback of Notre Dame,325338851,465%,4.6,70,100,30.80%,225,69.20%,1996,1990's
The Hunger Games,694394724,890%,8.9,78,408,58.80%,286,41.20%,2012,2010's
The Hunger Games: Catching Fire,865011746,1109%,11.1,78,425,49.10%,440,50.90%,2013,2010's
The Imitation Game,219979959,1571%,15.7,14,91.1,41.40%,128.9,58.60%,2014,2010's
The Incredibles,631607053,436%,4.4,145,261,41.40%,370,58.60%,2004,2000's
The Jungle Book (2016),966554929,546%,5.5,177,364,37.70%,603,62.30%,2016,2010's
The Karate Kid,359126022,898%,9,40,177,49.20%,183,50.80%,2010,2010's
The King's Speech,427374317,2849%,28.5,15,139,32.50%,289,67.50%,2010,2010's
The King's Speech,414200000,925%,9.3,15,138.8,100.00%,275.4,198.40%,2010,2010's
The Last Airbender,319713881,213%,2.1,150,132,41.20%,188,58.80%,2010,2010's
The Last Exorcism,67730000,2279%,22.8,1.8,41,100.00%,26.7,65.10%,2010,2010's
The Last Jedi,1332698830,420%,4.2,317,620,46.50%,713,53.50%,2017,2010's
The Last Samurai,454627263,325%,3.2,140,111,24.40%,344,75.60%,2003,2000's
The Lazarus Effect,64110728,1943%,19.4,3.3,25.8,40.20%,38.3,59.80%,2015,2010's
